,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
25773,38728472,0,1,1.0,1.0,1.0,13,1,0,0,1,0,0,0,0,1,31406,43.0,3.7612001156935624
25774,38728990,0,1,1.0,1.0,1.0,7,2,0,0,1,0,0,0,0,1,31406,35.0,3.5553480614894135
25775,38729089,0,2,1.0,1.0,1.0,10,1,0,0,1,0,0,0,0,1,31406,38.0,3.6375861597263857
25776,38729283,0,5,2.0,1.0,2.0,26,6,0,0,1,0,0,1,0,0,31406,130.0,4.867534450455582
25777,38730062,0,1,1.0,0.0,1.0,9,1,0,0,0,1,0,0,0,1,50985,48.0,3.871201010907891
25778,38733040,0,2,0.0,1.0,1.0,26,35,1,0,1,0,0,1,0,0,31406,80.0,4.382026634673881
25779,38742891,0,6,3.0,2.0,3.0,29,40,1,0,0,1,0,1,0,0,50985,353.0,5.8664680569332965
25780,38743857,0,1,1.0,1.0,1.0,13,0,1,0,0,1,0,1,0,0,50985,60.0,4.0943445622221
25781,38747811,0,2,1.0,1.0,2.0,23,7,0,0,0,0,1,0,0,1,31992,45.0,3.8066624897703196
25782,38749353,0,2,1.0,1.0,1.0,28,3,0,0,1,0,0,0,0,1,31406,80.0,4.382026634673881
25783,38751409,0,16,7.0,4.0,10.0,43,12,0,0,1,0,0,1,0,0,31406,325.0,5.783825182329737
25784,38752368,0,3,1.0,1.0,1.0,29,15,0,0,1,0,0,1,0,0,31406,120.0,4.787491742782046
25785,38752655,0,2,1.0,1.0,1.0,25,5,0,0,1,0,0,0,0,1,31406,95.0,4.553876891600541
25786,38753560,0,1,1.0,1.0,1.0,11,1,1,1,0,0,0,0,0,1,22232,70.0,4.248495242049359
25787,38753809,0,3,1.0,1.0,1.0,15,15,1,0,0,1,0,1,0,0,50985,120.0,4.787491742782046
